mywebsite=# ֿSelect * from page_views;
 view_id |   visitor_ip    |                    page_route                     |        view_timestamp         
---------+-----------------+---------------------------------------------------+-------------------------------
       1 | 147.235.219.167 | /                                                 | 2025-10-03 13:31:11.09023+00
       2 | 66.249.65.168   | /robots.txt                                       | 2025-10-03 13:35:22.706116+00
       3 | 204.76.203.219  | /                                                 | 2025-10-03 13:38:30.02162+00
       4 | 147.235.219.167 | /                                                 | 2025-10-03 13:40:51.595424+00
       5 | 204.76.203.212  | /                                                 | 2025-10-03 13:45:47.951815+00
       6 | 20.64.105.126   | /hudson                                           | 2025-10-03 13:50:02.449279+00
       7 | 5.29.10.180     | /                                                 | 2025-10-03 13:55:07.503016+00
       8 | 147.235.219.167 | /about-me                                         | 2025-10-03 14:03:26.342053+00
       9 | 147.235.219.167 | /tech-in-action                                   | 2025-10-03 14:03:27.448994+00
      10 | 147.235.219.167 | /education                                        | 2025-10-03 14:03:31.980718+00
      11 | 147.235.219.167 | /contact                                          | 2025-10-03 14:03:36.959395+00
      12 | 3.134.148.59    | /                                                 | 2025-10-03 14:38:20.694783+00
      13 | 79.177.147.20   | /                                                 | 2025-10-03 14:50:15.227547+00
      14 | 79.177.147.20   | /tech-in-action                                   | 2025-10-03 14:50:29.385285+00
      15 | 79.177.147.20   | /my-projects                                      | 2025-10-03 14:50:55.218631+00
      16 | 79.177.147.20   | /tech-in-action                                   | 2025-10-03 14:51:10.03496+00
      17 | 79.177.147.20   | /                                                 | 2025-10-03 14:55:27.910711+00
      18 | 94.230.91.70    | /                                                 | 2025-10-03 14:55:34.556026+00
      19 | 79.177.147.20   | /about-me                                         | 2025-10-03 14:55:41.143651+00
      20 | 79.177.147.20   | /tech-in-action                                   | 2025-10-03 14:55:53.322104+00
      21 | 94.230.91.69    | /tech-in-action                                   | 2025-10-03 14:55:57.681169+00
      22 | 79.177.147.20   | /                                                 | 2025-10-03 14:56:40.551341+00
      23 | 40.113.19.56    | /wp-content/plugins/hellopress/wp_filemanager.php | 2025-10-03 15:08:44.890954+00
      24 | 40.113.19.56    | /bp.php                                           | 2025-10-03 15:08:44.981685+00
      25 | 40.113.19.56    | /file2.php                                        | 2025-10-03 15:08:45.069474+00
      26 | 40.113.19.56    | /class.1.php                                      | 2025-10-03 15:08:45.155711+00
      27 | 40.113.19.56    | /manager.php                                      | 2025-10-03 15:08:45.241398+00
      28 | 40.113.19.56    | /file21.php                                       | 2025-10-03 15:08:45.326693+00
      29 | 40.113.19.56    | /file6.php                                        | 2025-10-03 15:08:45.413621+00
      30 | 40.113.19.56    | /file.php                                         | 2025-10-03 15:08:45.500576+00
      31 | 40.113.19.56    | /lock360.php                                      | 2025-10-03 15:08:45.586863+00
      32 | 40.113.19.56    | /default.php                                      | 2025-10-03 15:08:45.679053+00
      33 | 40.113.19.56    | /file5.php                                        | 2025-10-03 15:08:45.794394+00
      34 | 40.113.19.56    | /333.php                                          | 2025-10-03 15:08:45.881608+00
      35 | 40.113.19.56    | /file15.php                                       | 2025-10-03 15:08:45.966794+00
      36 | 40.113.19.56    | /atomlib.php                                      | 2025-10-03 15:08:46.052841+00
      37 | 40.113.19.56    | /aa2.php                                          | 2025-10-03 15:08:46.138764+00
      38 | 40.113.19.56    | /gfile.php                                        | 2025-10-03 15:08:46.224591+00
